,排名,学校名称,省市,类型,总分
346,346,合肥师范学院,安徽,师范,104.7
347,346,塔里木大学,新疆,综合,104.7
348,346,徐州工程学院,江苏,理工,104.7
349,350,湖北第二师范学院,湖北,师范,104.3
350,351,常州工学院,江苏,理工,104.2
351,352,井冈山大学,江西,综合,104.1
352,353,岭南师范学院,广东,师范,103.7
353,354,广西科技大学,广西,理工,103.1
354,355,长春大学,吉林,综合,102.9
355,355,贵州师范学院,贵州,师范,102.9
356,357,洛阳师范学院,河南,师范,102.8
357,358,佳木斯大学,黑龙江,综合,102.3
